Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/1/2019,12:00:00 PM,AM,8289.97,8310.08,8206.57,8220.39,1407.679668,30:00.0,11623091.72,9215,855.307451,7068651.321,0
10/1/2019,12:30:00 PM,AM,8220.78,8222.13,8188,8199.66,462.495135,00:00.0,3794282.944,4572,232.958782,1911334.672,0
10/1/2019,1:00:00 AM,AM,8199.21,8229.99,8173.05,8203.58,646.261799,30:00.0,5299518.329,5994,362.297605,2970735.875,0
10/1/2019,1:30:00 AM,AM,8204.99,8295,8193.57,8269.83,738.759621,00:00.0,6097487.218,8845,398.172856,3286165.914,0
10/1/2019,2:00:00 AM,AM,8269.83,8428,8265.14,8388.6,2763.540693,30:00.0,23073172.41,19267,1732.988731,14472804.6,0
10/1/2019,2:30:00 AM,AM,8388.09,8438.05,8355.73,8412.87,1181.376027,00:00.0,9910922.734,9612,607.284675,5096193.286,0
10/1/2019,3:00:00 AM,AM,8412.16,8500,8401,8445.92,2133.459596,30:00.0,18055234.42,15485,1099.702646,9308348.218,0
10/1/2019,3:30:00 AM,AM,8446.8,8462.41,8396.08,8396.93,1168.789065,00:00.0,9852645.157,9636,570.15613,4807209.051,0
10/1/2019,4:00:00 AM,AM,8397.21,8447.21,8386,8436.33,846.782129,30:00.0,7131868.777,6887,466.16834,3925942.795,0
10/1/2019,4:30:00 AM,AM,8437.71,8470.5,8410.34,8423.57,726.969136,00:00.0,6136282.22,6776,357.022214,3013828.44,0
10/1/2019,5:00:00 AM,AM,8423.57,8440,8400,8422.86,615.041484,30:00.0,5179587.386,5300,295.11818,2485328.265,0
10/1/2019,5:30:00 AM,AM,8423.34,8431.15,8400,8419.86,514.482944,00:00.0,4328780.692,4863,286.113226,2407476.42,0
10/1/2019,6:00:00 AM,AM,8419.6,8420,8367.36,8382.79,862.026985,30:00.0,7236952.669,7643,412.991419,3466962.548,0
10/1/2019,6:30:00 AM,AM,8381.16,8400,8340.74,8386.33,805.018868,00:00.0,6734366.132,7240,402.227454,3365372.291,0
10/1/2019,7:00:00 AM,AM,8386.35,8387.68,8346.38,8353.47,486.138963,30:00.0,4065885.559,5123,218.922777,1831081.052,0
10/1/2019,7:30:00 AM,AM,8355.64,8418.92,8353,8407.12,610.024862,00:00.0,5120163.435,6787,317.761575,2665741.454,0
10/1/2019,8:00:00 AM,AM,8405.87,8412.72,8355,8356.53,682.411158,30:00.0,5721664.95,6376,329.799411,2765129.635,0
10/1/2019,8:30:00 AM,AM,8357.33,8381.38,8345,8376.28,712.020356,00:00.0,5957917.471,6061,403.416112,3375919.913,0
10/1/2019,9:00:00 AM,AM,8377.68,8378.41,8290,8305.68,1323.389508,30:00.0,11011546.19,11506,581.827696,4843246.732,0
10/1/2019,9:30:00 AM,AM,8305.68,8340.53,8296.02,8317.13,748.61744,00:00.0,6227132.754,6808,398.350181,3313999.523,0
10/1/2019,10:00:00 AM,AM,8318.08,8359.79,8317.2,8328.96,688.046259,30:00.0,5736856.711,5727,368.656431,3072966.291,0
10/1/2019,10:30:00 AM,AM,8328.31,8339.03,8296.34,8305.97,609.000124,00:00.0,5065342.449,6960,317.730424,2642678.169,0
10/1/2019,11:00:00 AM,AM,8305.97,8339.47,8282.06,8334.11,562.294051,30:00.0,4674129.598,6558,333.224215,2769929.991,0
10/1/2019,11:30:00 AM,AM,8334.18,8353.99,8311.91,8353.42,492.977789,00:00.0,4108914.342,5807,251.339811,2094786.556,0
10/1/2019,12:00:00 PM,PM,8353.35,8428.02,8313,8336.6,1645.206132,30:00.0,13774285.85,14717,801.45399,6712861.527,0
10/1/2019,12:30:00 PM,PM,8336.6,8356.42,8295,8314.32,963.23641,00:00.0,8015634.585,8171,469.542611,3907640.99,0
10/1/2019,1:00:00 AM,PM,8314.92,8348.31,8270.22,8342.88,1266.712023,30:00.0,10529511.63,11306,608.65681,5059970.085,0
10/1/2019,1:30:00 AM,PM,8342.88,8380,8328.13,8343.56,873.453259,00:00.0,7296959.727,7312,518.526537,4332093.043,0
10/1/2019,2:00:00 AM,PM,8343.56,8360.99,8313.24,8328.07,610.392797,30:00.0,5088869.285,6190,303.34854,2528716.347,0
10/1/2019,2:30:00 AM,PM,8328.02,8360,8311.85,8335.12,698.792682,00:00.0,5825217.763,6803,420.857218,3508489.736,0
10/1/2019,3:00:00 AM,PM,8334.55,8338,8305,8316.33,637.862799,30:00.0,5307936.805,5955,368.78049,3069103.149,0
10/1/2019,3:30:00 AM,PM,8317.26,8371,8308.15,8365.5,607.072783,00:00.0,5062936.508,6695,325.027248,2711059.669,0
